grid_id,year,collision_count,fatal_count,serious_count,slight_count,total_severity_score,mean_severity_score,occupied_in_year,zero_collision_year,grid_row,grid_col,cell_size_m,cell_area_km2,centroid_easting,centroid_northing
R000_C005,2020,0,0,0,0,0.0,,0,1,0,5,5000,25.0,92500.0,12500.0
R000_C005,2021,0,0,0,0,0.0,,0,1,0,5,5000,25.0,92500.0,12500.0
R000_C005,2022,2,0,0,2,2.0,1.0,1,0,0,5,5000,25.0,92500.0,12500.0
R000_C005,2023,3,0,1,2,4.0,1.3333333333333333,1,0,0,5,5000,25.0,92500.0,12500.0
R000_C005,2024,2,0,2,0,4.0,2.0,1,0,0,5,5000,25.0,92500.0,12500.0
R000_C021,2020,1,0,0,1,1.0,1.0,1,0,0,21,5000,25.0,172500.0,12500.0
R000_C021,2021,1,0,1,0,2.0,2.0,1,0,0,21,5000,25.0,172500.0,12500.0
R000_C021,2022,0,0,0,0,0.0,,0,1,0,21,5000,25.0,172500.0,12500.0
R000_C021,2023,2,0,1,1,3.0,1.5,1,0,0,21,5000,25.0,172500.0,12500.0
R000_C021,2024,0,0,0,0,0.0,,0,1,0,21,5000,25.0,172500.0,12500.0
R001_C020,2020,2,0,0,2,2.0,1.0,1,0,1,20,5000,25.0,167500.0,17500.0
R001_C020,2021,4,0,2,2,6.0,1.5,1,0,1,20,5000,25.0,167500.0,17500.0
R001_C020,2022,2,0,0,2,2.0,1.0,1,0,1,20,5000,25.0,167500.0,17500.0
R001_C020,2023,4,0,1,3,5.0,1.25,1,0,1,20,5000,25.0,167500.0,17500.0
R001_C020,2024,2,1,1,0,5.0,2.5,1,0,1,20,5000,25.0,167500.0,17500.0
R001_C021,2020,4,0,1,3,5.0,1.25,1,0,1,21,5000,25.0,172500.0,17500.0
R001_C021,2021,2,0,1,1,3.0,1.5,1,0,1,21,5000,25.0,172500.0,17500.0
R001_C021,2022,3,0,1,2,4.0,1.3333333333333333,1,0,1,21,5000,25.0,172500.0,17500.0
R001_C021,2023,1,0,0,1,1.0,1.0,1,0,1,21,5000,25.0,172500.0,17500.0
R001_C021,2024,0,0,0,0,0.0,,0,1,1,21,5000,25.0,172500.0,17500.0
R001_C022,2020,3,0,2,1,5.0,1.6666666666666667,1,0,1,22,5000,25.0,177500.0,17500.0
R001_C022,2021,4,0,1,3,5.0,1.25,1,0,1,22,5000,25.0,177500.0,17500.0
R001_C022,2022,0,0,0,0,0.0,,0,1,1,22,5000,25.0,177500.0,17500.0
R001_C022,2023,0,0,0,0,0.0,,0,1,1,22,5000,25.0,177500.0,17500.0
R001_C022,2024,1,0,0,1,1.0,1.0,1,0,1,22,5000,25.0,177500.0,17500.0
R002_C014,2020,0,0,0,0,0.0,,0,1,2,14,5000,25.0,137500.0,22500.0
R002_C014,2021,0,0,0,0,0.0,,0,1,2,14,5000,25.0,137500.0,22500.0
R002_C014,2022,0,0,0,0,0.0,,0,1,2,14,5000,25.0,137500.0,22500.0
R002_C014,2023,0,0,0,0,0.0,,0,1,2,14,5000,25.0,137500.0,22500.0
R002_C014,2024,2,0,1,1,3.0,1.5,1,0,2,14,5000,25.0,137500.0,22500.0
R002_C015,2020,0,0,0,0,0.0,,0,1,2,15,5000,25.0,142500.0,22500.0
R002_C015,2021,0,0,0,0,0.0,,0,1,2,15,5000,25.0,142500.0,22500.0
R002_C015,2022,0,0,0,0,0.0,,0,1,2,15,5000,25.0,142500.0,22500.0
R002_C015,2023,1,0,0,1,1.0,1.0,1,0,2,15,5000,25.0,142500.0,22500.0
R002_C015,2024,1,0,0,1,1.0,1.0,1,0,2,15,5000,25.0,142500.0,22500.0
R002_C020,2020,5,0,1,4,6.0,1.2,1,0,2,20,5000,25.0,167500.0,22500.0
R002_C020,2021,2,0,0,2,2.0,1.0,1,0,2,20,5000,25.0,167500.0,22500.0
R002_C020,2022,8,0,2,6,10.0,1.25,1,0,2,20,5000,25.0,167500.0,22500.0
R002_C020,2023,7,0,4,3,11.0,1.5714285714285714,1,0,2,20,5000,25.0,167500.0,22500.0
R002_C020,2024,5,0,2,3,7.0,1.4,1,0,2,20,5000,25.0,167500.0,22500.0
R002_C021,2020,3,0,2,1,5.0,1.6666666666666667,1,0,2,21,5000,25.0,172500.0,22500.0
R002_C021,2021,1,0,0,1,1.0,1.0,1,0,2,21,5000,25.0,172500.0,22500.0
R002_C021,2022,3,0,2,1,5.0,1.6666666666666667,1,0,2,21,5000,25.0,172500.0,22500.0
R002_C021,2023,3,0,1,2,4.0,1.3333333333333333,1,0,2,21,5000,25.0,172500.0,22500.0
R002_C021,2024,0,0,0,0,0.0,,0,1,2,21,5000,25.0,172500.0,22500.0
R002_C022,2020,2,0,1,1,3.0,1.5,1,0,2,22,5000,25.0,177500.0,22500.0
R002_C022,2021,2,0,0,2,2.0,1.0,1,0,2,22,5000,25.0,177500.0,22500.0
R002_C022,2022,2,0,0,2,2.0,1.0,1,0,2,22,5000,25.0,177500.0,22500.0
R002_C022,2023,1,0,0,1,1.0,1.0,1,0,2,22,5000,25.0,177500.0,22500.0
R002_C022,2024,1,0,0,1,1.0,1.0,1,0,2,22,5000,25.0,177500.0,22500.0
R003_C014,2020,1,0,0,1,1.0,1.0,1,0,3,14,5000,25.0,137500.0,27500.0
R003_C014,2021,5,0,0,5,5.0,1.0,1,0,3,14,5000,25.0,137500.0,27500.0
R003_C014,2022,2,0,0,2,2.0,1.0,1,0,3,14,5000,25.0,137500.0,27500.0
R003_C014,2023,1,0,1,0,2.0,2.0,1,0,3,14,5000,25.0,137500.0,27500.0
R003_C014,2024,4,0,0,4,4.0,1.0,1,0,3,14,5000,25.0,137500.0,27500.0
R003_C015,2020,3,1,0,2,5.0,1.6666666666666667,1,0,3,15,5000,25.0,142500.0,27500.0
R003_C015,2021,1,0,0,1,1.0,1.0,1,0,3,15,5000,25.0,142500.0,27500.0
R003_C015,2022,3,0,0,3,3.0,1.0,1,0,3,15,5000,25.0,142500.0,27500.0
R003_C015,2023,6,0,0,6,6.0,1.0,1,0,3,15,5000,25.0,142500.0,27500.0
R003_C015,2024,2,0,1,1,3.0,1.5,1,0,3,15,5000,25.0,142500.0,27500.0
R003_C016,2020,14,1,3,10,19.0,1.3571428571428572,1,0,3,16,5000,25.0,147500.0,27500.0
R003_C016,2021,11,0,1,10,12.0,1.0909090909090908,1,0,3,16,5000,25.0,147500.0,27500.0
R003_C016,2022,7,0,0,7,7.0,1.0,1,0,3,16,5000,25.0,147500.0,27500.0
R003_C016,2023,8,1,2,5,12.0,1.5,1,0,3,16,5000,25.0,147500.0,27500.0
R003_C016,2024,7,0,1,6,8.0,1.1428571428571428,1,0,3,16,5000,25.0,147500.0,27500.0
R003_C018,2020,1,0,0,1,1.0,1.0,1,0,3,18,5000,25.0,157500.0,27500.0
R003_C018,2021,1,0,0,1,1.0,1.0,1,0,3,18,5000,25.0,157500.0,27500.0
R003_C018,2022,3,0,1,2,4.0,1.3333333333333333,1,0,3,18,5000,25.0,157500.0,27500.0
R003_C018,2023,3,0,1,2,4.0,1.3333333333333333,1,0,3,18,5000,25.0,157500.0,27500.0
