grid_id,target_year,log_previous_count,previous_hotspot,target_is_hotspot,predicted_hotspot,predicted_probability_stage9,confusion_type
R034_C093,2024,7.251344983372214,1,1,1,0.9999999999983977,True positive
R034_C092,2024,7.153833801578843,1,1,1,0.9999999999969276,True positive
R033_C093,2024,7.135687347028144,1,1,1,0.9999999999965317,True positive
R033_C092,2024,7.034387929915503,1,1,1,0.9999999999931792,True positive
R035_C093,2024,6.954638864880987,1,1,1,0.999999999988384,True positive
R034_C094,2024,6.775366090936392,1,1,1,0.9999999999615528,True positive
R034_C091,2024,6.650279048587422,1,1,1,0.9999999999113747,True positive
R031_C093,2024,6.639875833826536,1,1,1,0.9999999999050004,True positive
R032_C092,2024,6.620073206530356,1,1,1,0.9999999998915725,True positive
R036_C093,2024,6.551080335043404,1,1,1,0.9999999998281357,True positive
R033_C091,2024,6.4457198193855785,1,1,1,0.9999999996527198,True positive
R033_C094,2024,6.373319789577012,1,1,1,0.9999999994368745,True positive
R034_C095,2024,6.371611847231857,1,1,1,0.9999999994304165,True positive
R032_C093,2024,6.340359303727752,1,1,1,0.9999999992982624,True positive
R055_C068,2024,6.313548046277095,1,1,1,0.9999999991607056,True positive
R035_C091,2024,6.253828811575473,1,1,1,0.999999998749536,True positive
R035_C095,2024,6.093569770045136,1,1,1,0.9999999963546027,True positive
R035_C094,2024,6.073044534100405,1,1,1,0.9999999958192121,True positive
R035_C092,2024,6.049733455231958,1,1,1,0.9999999951151752,True positive
R032_C094,2024,5.998936561946683,1,1,1,0.9999999931429804,True positive
