grid_id,target_year,log_previous_count,previous_hotspot,target_is_hotspot,predicted_hotspot,predicted_probability_stage9,correct_prediction,confusion_type,distance_from_0_5
R000_C005,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R000_C021,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R001_C020,2024,1.6094379124341005,0,0,0,2.621007218088068e-05,True,True negative,0.4999737899278191
R001_C021,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R001_C022,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R002_C014,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R002_C015,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R002_C020,2024,2.079441541679836,0,0,0,0.0006039490586071061,True,True negative,0.4993960509413929
R002_C021,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R002_C022,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R003_C014,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R003_C015,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R003_C016,2024,2.19722457733622,0,0,0,0.0013249536430650108,True,True negative,0.498675046356935
R003_C018,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R003_C019,2024,2.19722457733622,0,0,0,0.0013249536430650108,True,True negative,0.498675046356935
R003_C020,2024,2.4849066497880004,0,0,0,0.008974292080567959,True,True negative,0.49102570791943206
R003_C021,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R003_C022,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R004_C014,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R004_C015,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R004_C016,2024,3.044522437723423,0,0,0,0.27524593511421913,True,True negative,0.22475406488578087
R004_C017,2024,2.302585092994046,0,0,0,0.002673672923127726,True,True negative,0.4973263270768723
R004_C018,2024,1.6094379124341005,0,0,0,2.621007218088068e-05,True,True negative,0.4999737899278191
R004_C019,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R004_C020,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R004_C021,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R004_C022,2024,3.295836866004329,0,0,1,0.6703357251318038,False,False positive,0.17033572513180384
R004_C023,2024,2.70805020110221,0,0,0,0.038620547826229264,True,True negative,0.46137945217377074
R004_C024,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R005_C015,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R005_C016,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R005_C017,2024,2.4849066497880004,0,0,0,0.008974292080567959,True,True negative,0.49102570791943206
R005_C018,2024,2.995732273553991,0,0,0,0.21519187873111192,True,True negative,0.2848081212688881
R005_C019,2024,2.4849066497880004,0,0,0,0.008974292080567959,True,True negative,0.49102570791943206
R005_C020,2024,2.302585092994046,0,0,0,0.002673672923127726,True,True negative,0.4973263270768723
R005_C021,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R005_C022,2024,2.302585092994046,0,0,0,0.002673672923127726,True,True negative,0.4973263270768723
R005_C023,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R005_C024,2024,1.6094379124341005,0,0,0,2.621007218088068e-05,True,True negative,0.4999737899278191
R005_C025,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R005_C040,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R005_C041,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R005_C042,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R006_C017,2024,2.19722457733622,0,0,0,0.0013249536430650108,True,True negative,0.498675046356935
R006_C018,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R006_C019,2024,2.19722457733622,0,0,0,0.0013249536430650108,True,True negative,0.498675046356935
R006_C020,2024,3.970291913552122,1,1,1,0.9948005288631603,True,True positive,0.4948005288631603
R006_C021,2024,2.833213344056216,0,0,0,0.08479219087228605,True,True negative,0.41520780912771393
R006_C022,2024,2.079441541679836,0,0,0,0.0006039490586071061,True,True negative,0.4993960509413929
R006_C023,2024,3.6375861597263857,1,0,1,0.9540303661236091,False,False positive,0.45403036612360914
R006_C024,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R006_C025,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R006_C026,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R006_C027,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R006_C040,2024,1.6094379124341005,0,0,0,2.621007218088068e-05,True,True negative,0.4999737899278191
R006_C041,2024,2.3978952727983707,0,0,0,0.005039993971908603,True,True negative,0.49496000602809137
R006_C042,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R006_C043,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R007_C020,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R007_C021,2024,2.9444389791664403,0,0,0,0.1629605820634127,True,True negative,0.3370394179365873
R007_C022,2024,3.332204510175204,0,0,1,0.7216193143239186,False,False positive,0.22161931432391857
R007_C023,2024,2.639057329615259,0,0,0,0.024717696654622916,True,True negative,0.4752823033453771
R007_C024,2024,2.19722457733622,0,0,0,0.0013249536430650108,True,True negative,0.498675046356935
R007_C025,2024,1.6094379124341005,0,0,0,2.621007218088068e-05,True,True negative,0.4999737899278191
R007_C026,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R007_C027,2024,2.079441541679836,0,0,0,0.0006039490586071061,True,True negative,0.4993960509413929
R007_C035,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R007_C037,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R007_C038,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R007_C039,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R007_C040,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R007_C041,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R007_C042,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R007_C043,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R007_C044,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R008_C021,2024,2.079441541679836,0,0,0,0.0006039490586071061,True,True negative,0.4993960509413929
R008_C022,2024,2.4849066497880004,0,0,0,0.008974292080567959,True,True negative,0.49102570791943206
R008_C023,2024,2.19722457733622,0,0,0,0.0013249536430650108,True,True negative,0.498675046356935
R008_C024,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R008_C025,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R008_C026,2024,2.3978952727983707,0,0,0,0.005039993971908603,True,True negative,0.49496000602809137
R008_C027,2024,3.4339872044851463,0,0,1,0.8364500535624654,False,False positive,0.3364500535624654
R008_C028,2024,2.302585092994046,0,0,0,0.002673672923127726,True,True negative,0.4973263270768723
R008_C029,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R008_C030,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R008_C031,2024,1.6094379124341005,0,0,0,2.621007218088068e-05,True,True negative,0.4999737899278191
R008_C032,2024,1.6094379124341005,0,0,0,2.621007218088068e-05,True,True negative,0.4999737899278191
R008_C033,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R008_C034,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R008_C035,2024,2.19722457733622,0,0,0,0.0013249536430650108,True,True negative,0.498675046356935
R008_C036,2024,4.406719247264253,1,1,1,0.9997164224019289,True,True positive,0.49971642240192893
R008_C037,2024,3.4011973816621555,0,0,1,0.8042593123851965,False,False positive,0.30425931238519655
R008_C038,2024,2.302585092994046,0,0,0,0.002673672923127726,True,True negative,0.4973263270768723
R008_C039,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R008_C040,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R008_C041,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R008_C042,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R008_C043,2024,1.6094379124341005,0,0,0,2.621007218088068e-05,True,True negative,0.4999737899278191
R008_C044,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R008_C045,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R009_C022,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R009_C023,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R009_C024,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R009_C025,2024,2.302585092994046,0,0,0,0.002673672923127726,True,True negative,0.4973263270768723
R009_C026,2024,2.19722457733622,0,0,0,0.0013249536430650108,True,True negative,0.498675046356935
R009_C027,2024,2.639057329615259,0,0,0,0.024717696654622916,True,True negative,0.4752823033453771
R009_C028,2024,2.079441541679836,0,0,0,0.0006039490586071061,True,True negative,0.4993960509413929
R009_C029,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R009_C030,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R009_C031,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R009_C032,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R009_C033,2024,2.4849066497880004,0,0,0,0.008974292080567959,True,True negative,0.49102570791943206
R009_C034,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R009_C035,2024,3.4339872044851463,0,1,1,0.8364500535624654,True,True positive,0.3364500535624654
R009_C036,2024,5.3230099791384085,1,1,1,0.9999993748343423,True,True positive,0.4999993748343423
R009_C037,2024,4.060443010546419,1,1,1,0.9971451257742328,True,True positive,0.49714512577423275
R009_C038,2024,2.639057329615259,0,0,0,0.024717696654622916,True,True negative,0.4752823033453771
R009_C039,2024,2.3978952727983707,0,0,0,0.005039993971908603,True,True negative,0.49496000602809137
R009_C040,2024,2.079441541679836,0,0,0,0.0006039490586071061,True,True negative,0.4993960509413929
R009_C041,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R009_C042,2024,1.6094379124341005,0,0,0,2.621007218088068e-05,True,True negative,0.4999737899278191
R009_C043,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R009_C044,2024,3.4339872044851463,0,0,1,0.8364500535624654,False,False positive,0.3364500535624654
R009_C045,2024,2.19722457733622,0,0,0,0.0013249536430650108,True,True negative,0.498675046356935
R010_C022,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R010_C023,2024,3.044522437723423,0,0,0,0.27524593511421913,True,True negative,0.22475406488578087
R010_C024,2024,2.079441541679836,0,0,0,0.0006039490586071061,True,True negative,0.4993960509413929
R010_C025,2024,2.3978952727983707,0,0,0,0.005039993971908603,True,True negative,0.49496000602809137
R010_C026,2024,2.302585092994046,0,0,0,0.002673672923127726,True,True negative,0.4973263270768723
R010_C027,2024,2.079441541679836,0,0,0,0.0006039490586071061,True,True negative,0.4993960509413929
R010_C028,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R010_C029,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R010_C030,2024,2.3978952727983707,0,0,0,0.005039993971908603,True,True negative,0.49496000602809137
R010_C031,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R010_C032,2024,2.833213344056216,0,0,0,0.08479219087228605,True,True negative,0.41520780912771393
R010_C033,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R010_C034,2024,2.833213344056216,0,0,0,0.08479219087228605,True,True negative,0.41520780912771393
R010_C035,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R010_C036,2024,2.19722457733622,0,0,0,0.0013249536430650108,True,True negative,0.498675046356935
R010_C037,2024,2.4849066497880004,0,0,0,0.008974292080567959,True,True negative,0.49102570791943206
R010_C038,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R010_C040,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R010_C041,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R010_C042,2024,2.5649493574615367,0,0,0,0.015217410607103852,True,True negative,0.48478258939289615
R010_C043,2024,2.4849066497880004,0,0,0,0.008974292080567959,True,True negative,0.49102570791943206
R010_C044,2024,4.158883083359672,1,1,1,0.9985183143658733,True,True positive,0.49851831436587335
R010_C045,2024,3.828641396489095,1,1,1,0.9867219015643443,True,True positive,0.48672190156434425
R011_C023,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R011_C024,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R011_C025,2024,1.6094379124341005,0,0,0,2.621007218088068e-05,True,True negative,0.4999737899278191
R011_C026,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R011_C027,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R011_C028,2024,3.1354942159291497,0,0,0,0.41076471668164616,True,True negative,0.08923528331835384
R011_C029,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R011_C030,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R011_C031,2024,1.9459101490553128,0,0,0,0.0002477300319792436,True,True negative,0.49975226996802075
R011_C032,2024,2.3978952727983707,0,0,0,0.005039993971908603,True,True negative,0.49496000602809137
R011_C033,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R011_C034,2024,2.3978952727983707,0,0,0,0.005039993971908603,True,True negative,0.49496000602809137
R011_C035,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R011_C036,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R011_C037,2024,2.3978952727983707,0,0,0,0.005039993971908603,True,True negative,0.49496000602809137
R011_C038,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R011_C041,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R011_C042,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R011_C043,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R011_C044,2024,3.332204510175204,0,0,1,0.7216193143239186,False,False positive,0.22161931432391857
R011_C045,2024,3.6375861597263857,1,1,1,0.9540303661236091,True,True positive,0.45403036612360914
R011_C060,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R012_C024,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
R012_C025,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R012_C026,2024,2.5649493574615367,0,0,0,0.015217410607103852,True,True negative,0.48478258939289615
R012_C027,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R012_C028,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R012_C029,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R012_C030,2024,0.0,0,0,0,5.64791947838045e-10,True,True negative,0.49999999943520806
R012_C031,2024,0.6931471805599453,0,0,0,5.7767006900864226e-08,True,True negative,0.4999999422329931
R012_C032,2024,1.0986122886681096,0,0,0,8.65629632656729e-07,True,True negative,0.49999913437036736
R012_C033,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R012_C034,2024,2.5649493574615367,0,0,0,0.015217410607103852,True,True negative,0.48478258939289615
R012_C035,2024,2.302585092994046,0,0,0,0.002673672923127726,True,True negative,0.4973263270768723
R012_C036,2024,2.639057329615259,0,0,0,0.024717696654622916,True,True negative,0.4752823033453771
R012_C037,2024,1.3862943611198906,0,0,0,5.9083840806754096e-06,True,True negative,0.49999409161591934
R012_C038,2024,1.791759469228055,0,0,0,8.852897499702268e-05,True,True negative,0.499911471025003
